,very good,,really good,
,"Appearance: Star Ring yyds are very nice! ! Running speed: Needless to say, the UI animation of Hongmeng system fluency, as a user of Huawei Xiaoquanjia, I like this system very much. Screen sound effect: The screen is really off the mark. It should be from BOE. I just felt something wrong when I turned it on. Why is it green and yellow? Later, compared with the p20Pro of n years ago, I opened the setting interface. Although the official data of the m40p surpasses the screen parameters of the p20Pro in all aspects, the naked eye clearly feels that the Samsung OLED of the p20Pro is much brighter and more realistic. I have fiddled with the settings of the color temperature, vivid mode, etc., but it still doesn't work. Although the green edge has long been psychologically prepared, I am very dissatisfied with the display quality of the entire screen. Later, I used two devices to play the same video, and it can only be said that there are gaps in the details. ?The following picture is from Xiaopozhan, which is my intuitive feeling when I see the screen.... Everyone has different sensitivity to color and clarity, and the acceptance of the screen varies from person to person. Most users think that the screen has no question. Some people also say that the Samsung A screen is too bright, and now this screen is more realistic, but I still prefer bright colors. You should be able to get used to it. I just bought the matepad 12.6 last year and I felt that the text was a little blurry, but after all, the screen is big, and the video is really fragrant after watching. Other features: body balance, still like > uncomfortable (to be honest, as a Hongmeng ecological user, there is no other suitable mobile phone to consider). It is expected that BOE can break through the restrictions and supply top-notch screens. If you don't have many requirements for the screen, this phone can basically close your eyes",,"Really fragrant law, it feels very good to use. The green edges are all used to it, it's worth it! Manual five-star doge",
, Appearance: Beautiful appearance Photo effect: The photo effect can also run Speed: The response is quite fast,,"It has been used for a while, and the effect is good? The customer service is patient, the answer is detailed, and I like it",
,"You get what you pay for, it's worth the money, I bought it for my wife, she likes it very much",,"Very good, Huawei quality assurance, the system is smooth, supports domestic production, come on",
,"Huawei is that Huawei supports domestic production, and the mobile phone is very powerful",,"The smoothness of the mobile phone is a lever, and the photo is very powerful",
,"The internet speed is very fast, the download speed is very fast, the mobile phone clone takes about ten to twenty minutes, the worst experience is that the mobile phone screen is a little hot for ten minutes or so, but the other feelings are not bad.",,"The battery life is really average. It is best to have charging protection when charging at night. It will not automatically stop charging when fully charged. There is no harm if there is no comparison. The last mobile phone has the above two functions. The battery life of the phone is good, and the phone is charged once a day for moderate and light use.",
,The black one is good to change the Huawei m40por from one plus six. It's worth every penny. I regret that I didn't change to a Huawei phone earlier.,,"The green edge is not a problem, it is the reflection of the side shell of the mobile phone. If there is 12G running memory and a high refresh rate of 120hz, it will be perfect",
,"Did not receive, has shown that I signed! lost phone",,"No cell phone, no delivery call",
,"I¡¯ve been using it for almost a week, let¡¯s talk about my experience. I used the p20 pro before, facing the screen directly, with physical buttons. Because it was also a Hongmeng system before, so there¡¯s nothing I¡¯m not used to on the system. I upgraded Hongmeng when I started it. It¡¯s the first time I used the full screen. , I always want to press the physical button at the bottom, it is very convenient to unlock the screen and face, the texture of the mobile phone is really good, but the girls feel a little heavy, and the green edge everyone said, there are still some, the genuine one is fine , I don't think there is anything awkward, because I used to face the screen before. After using it for a few days, I found that this curved screen is not only visually pleasing, but I don't think it is very practical in use, but it increases the production cost. screen it! Don't worry about the battery life of the mobile phone, the fast charge will be equipped later, and I advise those who want to buy the fast charge of other brands and other brands, give up this idea, use the realme 20W fast charge of my colleague in the company, and the power is 1% longer in one minute, so directly Just buy Huawei's original fast charger. In fact, 22/40 watts are enough, and 66 watts are a bit more expensive! Mobile phone photography is still very powerful, just take a picture and you're done! I don't play games, so I won't comment on this! The last thing to say is that a lot of photo and video data is lost in mobile phone cloning, so it is recommended to use a computer to reverse photos and videos. Other settings of the original mobile phone and APP cloning have not found any problems.",,"I would like to remind everyone here that the film that comes with the mobile phone can be used as long as it can be used. Tear off whatever tempered film you want to paste, or soft film, you will find that it is too nonsense, and various problems are not as good as the original one. , if you have time, go to the after-sale service and paste it back to the original film for free. I regret tearing off the original film.",
," Just bought a new mobile phone, the battery is dying quickly, bad reviews, the express package is damaged, and the air cushion is less",,"The phone is very beautiful, supports domestic mobile phones",
,Appearance: I like it. Running speed: It runs very smoothly. Other features: The screen feels very good and can be used for a while.,,I have been using it for nearly a month. The mobile phone experience is very good. It runs smoothly and is smart. The grip is also very good. The picture is also very good. I am very satisfied.,
,Other features: ~ Video calls are not compatible with Hongmeng system. The experience was pretty bad. Just waiting for adaptation. The actual experience is pretty bad. Huawei hopes you will follow up quickly on these. Don't let us consumers pay for everything. Other than this. neither good nor bad,,The system doesn't work well. remind. Lack of fluency. Girls try not to buy. WeChat does not support beauty,
,It is a big national brand. It is worth starting. You know it when you use it. You get what you pay for every penny. Let¡¯s start with friends!,,"The performance is very good, it is easy to use, very good, I have always used Huawei tablet notebooks are Huawei, support Huawei",
,"Appearance: Good-looking, I don't really care if it is a curved screen.",,Very dissatisfied with love recycling,
,"The machine is perfect, and the streaking feels great. will support in the future",,"I didn't say that it felt good in the follow-up use, and it has been discontinued now, which is very nice.",
,"It's not bad for the time being, the response is fast, and the appearance is online, but it's a little heavy",,"Jingdong is still trustworthy, the price is reduced the next day after receiving the goods, and the application for insured price is successful",
,"Appearance: It looks beautiful and comfortable. Screen sound effect: Curved screen, used for the second time. Photo effect: The photo is very good. Running speed: very smooth, it depends on the later stage. Standby time: You can use the phone for more than 5 hours all the time. Other features: It depends on what else can be developed later.",,It takes up to 5 hours. I don't know how long everyone has used it. It is very smooth to use. If you have not tested the game all the time,
,"I like it very much, I finally bought it after a long time, the effect is very good",,Huawei is very relieved,
,What I sent is an official replacement machine. I bought the official replacement machine with the new price. It will become hot after a few days.,,Family members report that the phone is often hot and sometimes freezes. What this machine gives is that there is an obvious problem with the integrity of the official replacement machine business. Not trustworthy. goodbye,
,"The courier service is in place! ! Received the phone on the 13th, used it for more than two days, and I am satisfied! Plan to post pictures to make up comments after a week! ! awesome",,The phone is super smooth and works great! Worthy of the title of flagship machine? A good shopping experience! ! Like like like like like like like like like like like like like like like like like like like like like like like like,
,"A cell phone is a good cell phone. It's the film that comes with the phone, and there are air bubbles when I take it out, which really pulls my blood pressure.",,"The phone is no problem, the big problem with the film sticker. ?Already torn",
,"Easy to use, support domestic products",,"Satisfied, support domestic products",
, Appearance: I like the screen sound effect: can take pictures Effect: Lever running speed: smooth and incomparable,,"After using it for 4 days, I feel that the battery life is strong, the system runs smoothly, and I don't have to worry about whether the screen is BOE or Samsung. You can always trust Huawei, just like always trust the Chinese women's football team, and always support national brands.",
,It dropped by 100 not long after it arrived,,"The overall is quite smooth. If you don't play games, when you switch to the service card on the left, the frame will be stuck a little, which has little effect. Feels good, looks good, photos are warm",
,"Jingdong is self-operated, all you want is speed, order at night, receive the next morning, perfect",,"It's been a while since I bought it, and I've used it very well. I've been using Huawei since mate10.",
,"Green acridine ~ come with a matching wallpaper. Long live the humanoid adaptation (dog.gif; some game applications lock the touch sampling rate, forcibly restricting the operation; follow-up additions",,"Today, I suddenly found out why this film is bubbling automatically? Two big ones on the front and three on the side",
,"Logistics is fast and smooth. Taking pictures is more realistic, just a little heavy. Charging is so fast that you can't imagine it! The response speed of the customer service is also very fast, it is worth recommending",,"Been using it for a few days, it's smooth",
,"Huawei products are trustworthy, and JD.com's delivery speed is impressive",,"Very good, have been using",
,"Yes, it's the first time I bought Huawei, and I think it's good overall",,"It was 9 days away in a month, and then the handset went wrong. Broken sound, the sound is a little louder and the electromagnetic sound is very loud. babble. The Jingdong platform is guaranteed. I'm hehe. And it's a self-operated store",
,"Shipping was fast! I placed an order yesterday afternoon and got the goods this morning, but I feel that it was sealed after unpacking (the edge of the online video said that the sealing is not neat, and the packaging film is thicker, so I am worried about it later? If I misunderstood! Wait for an additional review",,"A false alarm, it should not be an unpacking machine! Except for the green edge, everything else is fine",
,"It's easy to use, I'm satisfied",,"I've been using it for almost a month, I feel very satisfied, I support Huawei, that's all",
,finally got it,,Phone is stuck,
,"I have been thinking about it for a long time, holding the mate20pro, waiting and watching, and finally made up my mind to grab one before the Spring Festival. It's really worth it when you get it",,"The interface is very good-looking, and the mobile phone system is also very smooth. The blessing of Hongmeng is different.",
,"The keys are a little small and a little loose, the screen feels like Zhou Dongyu's other perfect screen",,Just make the buttons harder.,
,It¡¯s so powerful. The order I placed yesterday arrived at noon today. I¡¯ve already started using it. The whole thing is good. I trust Huawei. It¡¯s just that the charger I bought at the same time hasn¡¯t arrived yet. Let¡¯s use the nova5 to charge it first.,,"This mobile phone is very good, the pixels are super high, this is the content of today's training, the venue is very large, I am in the last row, this is a small screen, and the small characters are clearly photographed, it is great~ No performance is mentioned. , have been using it for more than a month, it works very well",
,"It seems that I finally chose this one. After unpacking, I was amazed, this is the Netcom I want! Not bad",,"I am sorry, after using it for a few days, Netcom has become very big, this exquisite appearance, this delicate skin, it is really exciting to touch! What a baby! Now I sleep with Netcom in my arms, it's really useful",
,"Haven't opened it yet, wait for its owner to come home and try it again",,"Great phone, looks great",
,"66W wired + 50W wireless fast charging speed is very good, the body supports IP68 waterproof, the screen has 90Hz high refresh rate, the overall configuration is quite comprehensive. I did encounter the green edge of the 6.78-inch waterfall screen, but after dark mode, I only saw some green edges at night when the surrounding lights were dim. Hongmeng OS gives me the feeling that there are more functions, stronger customization, faster animation speed, and background killing of APPs. As for the Internet, it is said that Hongmeng OS is very power-saving, and the standby is not bad. It must be charged twice a day. Indispensable. Taking pictures is what I love about Huawei Mate40 Pro. 50 million main camera + 20 million super wide-angle + 12 million telephoto + laser focus lens, Leica blessing, whether it is color, saturation, white balance are very powerful, especially Night scene photography, in the case of sufficient light, the noise control is quite perfect, 5x optical zoom, 10x hybrid zoom, 50x digital zoom in daily travel experience is also very good, the autofocus speed is fast, high accuracy",,"It's been used for more than 2 months and the overall is good, the system is updated in a timely manner, praised",
,"The delivery is very fast, and the mobile phone is not bad for the time being",,"Feels good, new experience",
,"I bought a 5G mobile phone, but I couldn't use 5G on the card yesterday. I thought it was a card problem. When I changed the card to Telecom, it was still 4G signal. What is the reputation of Jingdong",,"Five stars is the default, not the O star",
,"It's very bad, and Jingdong spends tens of thousands every year. I have been a member of Jingdong for several years, and now I get a trade-in mobile phone. I said that the subsidy has never been available. The price of the old mobile phone that is recycled will be higher first, and the price of the mobile phone will be lowered.",,"Bad review, trade-in is @'s",
,"Customer service contact me immediately. If you bought a mobile phone and a charging kit, your system will automatically merge it into one order, and only one express will be sent. I reported the problem before, but I forgot it after a few days, and the result was handled as solved by you",,"Bought this phone because it doesn't come with a charger. Just spent 199 yuan to buy another charging kit. In the end, I only received a mobile phone, a wired headset, and a calling card. The two feedbacks to JD.com customer service are all shirking, spicy chicken JD.com",
,The mobile phone has been received. I just put it on the card. It feels ok. How about the operation? It will take some time to see the logistics speed.,,"I just used my mobile phone and hoped to have good results. I heard that Jingdong had no fakes and I bought it. Don't let me down, or I will never believe it again.",
,"Very satisfied, feels great",,Very good experience,
,"The experience is very good. I originally bought it at 5689, but there was a period of time during the New Year¡¯s Day that the price was suddenly reduced by 200. I immediately applied for the difference. The price is still very cheap, the feel is very good, and there are many functions. The 128g memory is enough if you don¡¯t play games. Now, the mobile phone is a little heavy, and it is a little big for girls. It is best to put it on a different mobile phone ring. The tempered film will be attached to the top of the mobile phone case.",,"After using it for a while, it still feels ok, but it's too heavy. I think it should be improved. My tired wrist hurts. Another one is too big. I can't hold it with one hand.",
,mate 40 pro can last until Kirin returns,,"Adapted to the curved screen, perfect",
,"After I received the item, I checked it immediately, and found that it was consistent with the picture description. I like it very much. The seller delivered the goods very quickly. The service is also in place. !Jingdong ~50 words general praise copy and paste can be used",,"Things are good, but there are too many pictures, what should I do? Let¡¯s make up one more, Huawei mobile phones support more domestic products, and the signal is very good. Must buy this next time. As Apple's first mobile phone to cross over to Huawei, I hope that domestic products will get better and better, come on",
